Katsesõna	Tähendus	Kasutus	Põhjendus	mõttekäik
frukt	toiduks tarvitatav viljapuu vili, nt õun, ploom, pirn vili, mis kasvab puu küljes ja mida inimesed söövad, näiteks õun, pirn ja ploom	informaalsetes	"Sõna ""frukt"" on laensõna (tõenäoliselt vene keelest), mida kasutatakse kõnekeeles või slängina sõna ""puuvili"" asemel. Seda võib kohata peamiselt argikõnes, internetisuhtluses või vabamas vestluses, mitte aga ametlikes tekstides või kirjakeeles, kus kasutatakse sõna ""puuvili""."	"Mul tuleb otsustada, kas sõna ""frukt"" kasutatakse eesti keeles pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  ""Frukt"" ei ole eesti keeles tavapärane sõna puuviljade kohta. Eesti keeles on tavaline sõna ""puuvili"". ""Frukt"" on ilmselt laensõna vene keelest (фрукт) või ka näiteks inglise keelest (fruit), kuid kohandatud hääldusega.  Sõna ""frukt"" võib esineda: 1. Slängina või argikõnes 2. Vene keele mõjutustega eestikeelsetes kogukondades 3. Naljatlevalt või irooniliselt 4. Võõrkeele mõjudega kõnes  Kuna ""frukt"" ei ole eesti keele ametlik termin puuviljadele, vaid pigem laensõnaline variant, kasutatakse seda tõenäoliselt informaalsetes kontekstides. Ametlikes, formaalsetes või neutraalsetes tekstides kasutataks eelistatult sõna ""puuvili"".  Seega arvan, et registrimärgend peaks olema ""informaalsetes"".  Põhjendus: ""Frukt"" on laensõna, mida kasutatakse argikõnes või slängina sõna ""puuvili"" asemel. Seda kohtab tõenäolisemalt informaalsetes keskkondades nagu sotsiaalmeedia, foorumid, suuline vestlus, mitte aga akadeemilistes tekstides, õpikutes või ametlikes dokumentides.  Vastus: Kasutus: informaalsetes Põhjendus: ""Frukt"" on laensõna (tõenäoliselt vene keelest), mida kasutatakse argikõnes ""puuvilja"" tähenduses. Ametlikus kirjakeeles eelistatakse sõna ""puuvili""."
klaaruma	segavatest asjaoludest vabanema (nt udust, pilvedest) vaadeldavana puhtamalt, selgemalt paistma hakkama	neutraalsetes/formaalsetes	"Sõna ""klaaruma"" selles tähenduses on laialt kasutatav standardkeelne sõna, mis esineb nii ilukirjanduses kui ka ajakirjanduses. Seda kasutatakse nii otseses tähenduses ilmanähtuste kirjeldamisel (nt ""taevas klaarub"", ""ilm klaarub"") kui ka kujundlikult. Kuigi sõnal on olemas ka neutraalsemad sünonüümid nagu ""selginema"", pole tegemist selgelt kõnekeelse või slängisõnaga, vaid üldkeele osaga, mis sobib ka formaalsetesse tekstidesse."	"Ma pean otsustama, kas sõnale ""klaaruma"" tähenduses ""segavatest asjaoludest vabanema (nt udust, pilvedest) vaadeldavana puhtamalt, selgemalt paistma hakkama"" on vaja lisada registrimärgend, ja kui on, siis milline.  Ma pean analüüsima, kas seda sõna kasutatakse pigem: 1. Informaalsetes tekstides (blogid, foorumid, kommentaariumid, chativestlused, sotsiaalmeedia, trükivigadega tekstid, tegelaste otsekõne) 2. Neutraalsetes/formaalsetes tekstides 3. Või ei ole selget erinevust kasutuses (""ei kohaldu"")  Sõna ""klaaruma"" on tuletatud tüvest ""klaar"" (selge, puhas), mis on laensõna saksa või rootsi keelest (klar). Eesti keeles on olemas ka teisi sama tüvega sõnu nagu ""klaarimine"", ""klaarima"", ""klaar olema"" jne.  Sõna ""klaaruma"" on minu teadmiste põhjal kasutusel nii ilukirjanduses kui ka tavalistes kõnekeelsetes väljendites. See ei ole väga spetsiifiline erialatermin ega ametlikes dokumentides tavaliselt kasutatav sõna, kuid see pole ka ainult slängisõna.  Kui vaadata selle sõna kasutuskonteksti, siis ""klaaruma"" kasutatakse sageli ilmanähtuste kirjeldamisel (taevas klaarub, ilm klaarub), aga ka ülekantud tähenduses mõtete, olukordade jms kohta (mõtted klaaruvad, olukord klaarub). Need kasutused võivad esineda nii neutraalsetes tekstides kui ka informaalsetes kontekstides.  Ma kaldun arvama, et see on pigem neutraalne/standardne sõna, kuigi võib-olla veidi kõnekeelsem kui mõned sünonüümid nagu ""selginema"". Aga see ei ole selgelt ainult informaalsete tekstide sõna.  Seega ma klassifitseerin selle kui neutraalne/formaalne, kuna see võib esineda ka formaalsemates tekstides, kuigi mitte tingimata väga ametlikes dokumentides."
kontra	(spordis:) värava, korvi, punkti saavutamiseks peale tungimine vastusena vastase rünnakule	neutraalsetes/formaalsetes	Sõna 'kontra' antud tähenduses on sporditerminoloogias kasutatav neutraalne oskussõna, mis esineb nii spordiuudistes, -ülekannetes kui ka ametlikes sporditekstides. See on standardne termin kontra- või vasturünnaku kirjeldamiseks mitmetes spordialades.	"Minu ülesanne on otsustada, millisesse registrisse kuulub sõna 'kontra' tähenduses '(spordis:) värava, korvi, punkti saavutamiseks peale tungimine vastusena vastase rünnakule'. Pean otsustama, kas seda kasutatakse pigem informaalsetes, neutraalsetes/formaalsetes tekstides või ei oska ma eristust teha (vastuseks 'ei kohaldu').  Analüüsin sõna 'kontra' antud tähenduses:  1. Tegu on spordisõnavaraga, mis viitab kontraründele või vasturünnakule. 2. Sõna 'kontra' tähenduses ""vastu, vastandina"" on ladinakeelse päritoluga sõna, mida kasutatakse eesti keeles mitmetes ühendites (nt pro et contra). 3. Spordislängis kasutatakse sõna 'kontra' sageli, näiteks 'kontraga värav', 'kontra-rünnak', jne.  Arvan, et sõna 'kontra' selges sporditerminoloogilises tähenduses on neutraalne erialatermin. Seda kasutatakse nii spordiuudistes, spordiajakirjanduses kui ka spordikommentaarides, mis on ametlikud või poolametlikud kontekstid. See ei ole tingimata informaalne või slängi termin, kuigi seda kasutatakse ka kõnekeelses kontekstis.  Professionaalsed spordikommentaatorid ja ajakirjanikud kasutavad terminit 'kontra' või 'kontralaager', 'kontra-rünnak' vms kui standardset spordikeele oskussõna. See on sarnane teistele sporditerminitele nagu 'audi', 'korner', 'pall' jne, mis on neutraalsed ja kuuluvad oma valdkonna oskuskeelde.  Seega, kuigi sõna võib esineda ka informaalsetes kontekstides, on see oma põhilises kasutuses neutraalne sporditermin, mida kasutatakse laialdaselt ametlikes sporditekstides.  Vastus: Kasutus: neutraalsetes/formaalsetes Põhjendus: Sõna 'kontra' antud tähenduses on sporditerminoloogias kasutatav neutraalne oskussõna, mis esineb nii spordiuudistes, -ülekannetes kui ka ametlikes sporditekstides. See on standardne termin kontra- või vasturünnaku kirjeldamiseks mitmes spordialas."
leegionär	välismaalt palgatud, mitte oma maa klubis mängiv sportlane	neutraalsetes/formaalsetes	"Sõna ""leegionär"" tähenduses ""välismaalt palgatud sportlane"" on spordiajakirjanduses tavapärane ja neutraalne termin. Seda kasutatakse regulaarselt sporditeemalistel veebilehtedel, uudistes ja muudes formaalsetes kontekstides, näiteks kui räägitakse Eesti jalgpalluritest, kes mängivad välismaa klubides, või vastupidi välismaalastest, kes mängivad Eesti klubides. See ei ole slängisõna, vaid pigem professionaalne spordikeele termin."	"Mul palutakse otsustada, kas sõna ""leegionär"" tähenduses ""välismaalt palgatud, mitte oma maa klubis mängiv sportlane"" kasutatakse pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  Sõnal ""leegionär"" on kaks põhitähendust: 1. Ajalooliselt Rooma leegioni sõdur või mõne muu leegioni liige 2. Spordislängis kasutatakse seda välismaal mängiva sportlase kohta  Minu teadmiste kohaselt kasutatakse sõna ""leegionär"" sportlase tähenduses üsna laialdaselt Eesti spordikeeles ja ajakirjanduses. See ei ole väga informaalne termin, vaid pigem neutraalne spordiala spetsiifiline termin, mida kasutatakse ka ametlikes sporditekstides ja -uudistes.  Seda terminit võib leida nii spordiajakirjanike kirjutatud uudistes, kui ka sporditeadetes, intervjuudes ja analüüsides. See ei ole slängitermin, vaid pigem laialt aktsepteeritud neutraalne termin, mis kirjeldab konkreetset nähtust spordis.  Seega arvan, et sõna ""leegionär"" tähenduses ""välismaalt palgatud, mitte oma maa klubis mängiv sportlane"" kuulub neutraalsesse/formaalsesse registrisse.  Kasutus: neutraalsetes/formaalsetes Põhjendus: Sõna ""leegionär"" tähenduses ""välismaalt palgatud sportlane"" on spordikeele neutraalne termin, mida kasutatakse laialdaselt spordiajakirjanduses, uudistes ja muudes formaalsetes sporditeemalistes tekstides. See ei ole slängisõna, vaid tavapärane viis kirjeldada teatud tüüpi sportlast."
lutikas	väike pealtkuulamisseade	informaalsetes	"Sõna ""lutikas"" tähenduses ""väike pealtkuulamisseade"" on metafoorne, argikeelne väljend, mida kasutatakse tavaliselt mitteametlikus suhtluses. Formaalsetes või ametlikes tekstides (nt. seadusandlus, ametlik politseiterminoloogia) kasutatakse pigem neutraalseid termineid nagu ""pealtkuulamisseade"" või ""jälgimisseade"". Sõna selline ülekantud tähendus on levinud populaarkultuuris, ajakirjanduses ja igapäevases kõnekeeles."	"Pean otsustama, kas sõna ""lutikas"" tähenduses ""väike pealtkuulamisseade"" kuulub pigem informaalsesse, neutraalsesse/formaalsesse registrisse või pole võimalik selget registrieelistust määrata.  ""Lutikas"" on eesti keeles eelkõige tuntud kui putukas (Cimex lectularius), kuid ülekantuna kasutatakse seda ka väikese pealtkuulamisseadme kohta. See on metafooriline kasutus, kus väike seade sarnaneb putukaga oma suuruse ja ""peitumise"" võime poolest.  Analüüsime selle kasutuskonteksti:  1. Sõna ""lutikas"" kui pealtkuulamisseade on argikeelne slängiväljend, mida kasutatakse professionaalse termini ""pealtkuulamisseade"" asemel.  2. Selliseid metafoore kasutatakse enamasti mitteametlikus kõnes, kuid kuna tegemist on laialt levinud terminiga, võib see esineda ka näiteks ajakirjanduses või poolformaalsetes kontekstides.  3. Spiooni- või detektiivifilmides/-raamatutes võib seda kasutada ka dialoogides, mis tehniliselt võivad kuuluda ilukirjanduse alla.  4. Ametlikes või õiguslikes dokumentides kasutataks tõenäoliselt täpsemat ja neutraalsemat terminit nagu ""pealtkuulamisseade"" või ""jälgimisseade"".  Seega kalduks sõna ""lutikas"" tähenduses ""väike pealtkuulamisseade"" pigem informaalse registri poole, kuigi see võib esineda ka neutraalsetes kontekstides, eriti kui teema on seotud julgeoleku, spionaaži või politseitegevusega. Amet&amus dokumentides seda tõenäoliselt ei kasutata.  Sõna ""lutikas"" sellist kasutust võib pidada informaalseks ja argikeelseks, kuid samas on see piisavalt levinud, et seda võidakse kasutada ka neutraalsemates kontekstides, eriti kui juba on selge, et räägitakse tehnikast, mitte putukast.   Kuna puuduvad täpsed andmed selle kohta, kui formaalsetes tekstides sõna sellises tähenduses esineb, siis kaldun arvama, et tegemist on informaalse registriga sõnaga, mis on jõudnud osaliselt ka neutraalsesse registrisse.  Seega:  Kasutus: informaalsetes Põhjendus: Sõna ""lutikas"" tähenduses ""väike pealtkuulamisseade"" on metafoorne, argikeelne väljend, mida kasutatakse enamasti mitteametlikus kõnes ja informaalsetes kontekstides. Ametlikes või formaalsetes dokumentides eelistatakse neutraalsemaid termineid nagu ""pealtkuulamisseade"" või ""jälgimisseade""."
näitemäng	hrl laval esitamiseks mõeldud dialoogivormis kirjandusteos kirjutatud teos, mis on mõeldud näitlejatele teatris esitamiseks selle ettekanne	neutraalsetes/formaalsetes	"Sõna ""näitemäng"" on neutraalne kirjandus- ja teatrialane termin, mida kasutatakse laialdaselt ametlikes tekstides, õpikutes, kultuuriajakirjanduses ja teatriteaduslikes käsitlustes. See ei ole markeeritud slängisõna ega sisalda kõnekeelseid konnotatsioone, vaid on standardkeele osa, mis sobib igasugusesse neutraalsesse või formaalsesse konteksti."	"Pean otsustama, kas sõna 'näitemäng' registrimärgend peaks olema informaalne, neutraalne/formaalne või ei kohaldu üldse.  Analüüsin seda sõna kasutuskonteksti põhjal:  'Näitemäng' tähendab dialoogivormis kirjandusteost, mis on mõeldud laval esitamiseks, ehk teatrietendust või draamateost.  See on kirjanduslik termin, mis on üldkasutatav eesti keeles. Seda sõna kasutatakse erinevates kontekstides - akadeemilistes tekstides, raamatukirjeldustes, ajakirjanduses, kooli õpikutes jne. See ei ole slängisõna, vanaaegne ega liiga spetsiifiline erialatermin.  'Näitemäng' on neutraalne sõna, millel puuduvad stilistilised varjundid, mis viitaksid kas informaalsusele või eriti formaalsele kasutusele. Tegu on eestikeelse tavapärase terminiga teatri- ja kirjandusvaldkonnas, mida kasutatakse igapäevaselt nii kõne- kui kirjakeeles.  Teatrietenduse tähenduses võib mõnikord kasutada sünonüüme nagu ""lavastus"" või ""etendus"", kuid ""näitemäng"" viitab konkreetsemalt ka teose žanrile ja vormile.  Seega, 'näitemäng' on neutraalne/formaalne sõna, mida kasutatakse nii tavapärases kõnekeeles kui ka formaalsetes kontekstides."
odamees	odaviskega tegelev sportlane	informaalsetes	"Sõna ""odamees"" tähenduses ""odaviskega tegelev sportlane"" on pigem kõnekeelne ja vabama stiiliga tekstides kasutatav väljend. Ametlik ja neutraalne termin oleks ""odaviskaja"". Liitsõna ""odamees"" on lihtsustatud, rahvapärane väljendusviis, mida kasutatakse tõenäoliselt vabamas kontekstis nagu spordiblogid, kommentaariumid või ajakirjanduse vabamates žanrites, kuid mitte ametlikes sporditeadetes või entsüklopeedilistes tekstides."	"Mul palutakse otsustada, kas eestikeelne sõna 'odamees' tähenduses 'odaviskega tegelev sportlane' kasutatakse pigem informaalsetes, neutraalsetes/formaalsetes tekstides, või ei saa seda selgelt eristada.  Informaalsed tekstid on näiteks blogid, foorumid, kommentaariumid, chativestlused, sotsiaalmeedia, trükivigadega tekstid või raamatutegelaste otsekõne.  'Odamees' tähendab siin kontekstis odaviskega tegelevat sportlast. See on liitsõna, mis koosneb sõnadest 'oda' ja 'mees'.  Eesti keeles on spordiala nimetus 'odavise' ja sellega tegelev sportlane on ametlikult 'odaviskaja'. 'Odamees' on ilmselt mitteametlikum variant või rahvapärasem nimetus.  Minu teadmiste järgi: - 'Odaviskaja' on neutraalne, formaalne ja ametlik termin, mida kasutatakse spordivõistluste ja -reportaažide kontekstis. - 'Odamees' on pigem informaalsem, rahvapärasem nimetus, mida võidakse kasutada vabamas kõnepruugis, meediakajastuses või kui soovitakse näiteks lühidalt, emotsionaalselt või kõnekeelselt sportlast nimetada.  Liitsõnades '-mees' komponendiga on eesti keeles sageli kõnekeelseid nimisõnu, mis viitavad mingi tegevuse või elukutsega seotud inimestele. Mõned neist on neutraalsed, teised pigem informaalsed.  Kuna 'odamees' ei ole ametlik sporditermin, vaid pigem rahvapärane, mitteformaalsem väljend, siis kaldun arvama, et seda kasutatakse pigem informaalsetes tekstides, mitte niivõrd ametlikes spordiringkondades või formaalsetes tekstides.  Arvan, et 'odamees' sõnale tuleks sõnaraamatus lisada registrimärgend ""informaalne"", kuna ametlik termin on 'odaviskaja'.  Kokkuvõttes arvan, et seda kasutatakse pigem informaalsetes tekstides."
pillitama	(jahti pidades) vilega lindu või looma peibutama	neutraalsetes/formaalsetes	See sõna on jahindusala erialatermin, mida kasutatakse peamiselt jahindust käsitlevates erialatekstides, käsiraamatutes ja juhendites. Kuna tegemist on spetsiifilise termini, mitte argikeelse väljendiga, on selle kasutus pigem neutraalne/formaalne.	"Analüüsin sõna 'pillitama' kasutust tähenduses '(jahti pidades) vilega lindu või looma peibutama'.  Esmalt tuleb mõelda, kas sõna on: 1. Informaalne (kasutusel pigem mitteametlikes olukordades, netisuhtluses, slängis jms) 2. Neutraalne/formaalne (võib esineda ka ametlikes tekstides, teadustöödes jms) 3. Või pole register selgelt määratletav  'Pillitama' selles tähenduses viitab jahipidamise terminoloogiale. See on pigem spetsiifiline erialatermin, mida kasutavad jahimehed ja jahindusega seotud inimesed. Jahinduse kontekstis võiks tegu olla neutraalse terminiga.  Kui ma oma treeningandmetest mõtlen, siis antud tähenduses 'pillitama' ei ole väga laialdaselt kasutatud üldkeeles, vaid pigem spetsiifilises valdkonnas. See ei ole niivõrd informaalne, kuivõrd erialane termin.  Jahindust puudutavates tekstides (ajakirjad, raamatud, juhendid) võib see esineda neutraalse terminina, seega kaldun arvama, et tegu on neutraalse sõnaga, mida ei kasutata ainult informaalsetes kontekstides.  Samas ei ole see nii laialdaselt tuntud, et saaksin kindlalt väita, kas tegu on informaalse või neutraalse terminiga. Võib-olla tuleks pigem vastata ""ei kohaldu"", kuna ei saa teha selget eristust kasutusregistrite vahel.  Arvestades, et tegu on spetsiifilise jahindusterminiga, mis esineb peamiselt erialastes tekstides ja on erialane sõna, siis ma vastaksin ""neutraalne/formaalne"", kuna see kuulub pigem neutraalsesse erialakeelde kui informaalsesse keelde.  Seega vastaksin ""neutraalsetes/formaalsetes"" tekstides kasutatavaks sõnaks, põhjendusega, et tegemist on jahinduse erialaterminiga, mis esineb peamiselt jahindusega seotud asjalikes tekstides, mitte niivõrd informaalses keelekasutuses."
plass	(näovärvi kohta:) kahvatu, jumetu (värvide kohta:) ereduseta, erksuseta	neutraalsetes/formaalsetes	"Sõna ""plass"" tähenduses ""kahvatu, jumetu, ereduseta"" on pigem kirjanduslik või arhailisem sõna, mida leiab peamiselt ilukirjandusest või formaalsematest kirjeldustest. See ei ole tavapärane kõnekeelne väljend tänapäeva informaalses suhtluses, vaid kuulub neutraalsemasse kirjakeelde, eriti kirjeldavates tekstides, kus otsitakse täpsemat sõnavara."	"Pean analüüsima sõna ""plass"" kasutust kontekstis, kus see tähendab ""(näovärvi kohta:) kahvatu, jumetu (värvide kohta:) ereduseta, erksuseta"".  Registrimärgendi määramiseks pean mõtlema: 1. Kas see on kasutusel peamiselt informaalsetes tekstides (blogid, foorumid, kommentaariumid, chativestlused, sotsiaalmeedia)? 2. Kas see on kasutusel neutraalsetes/formaalsetes tekstides (ametlikud dokumendid, uudised, teadusartiklid jne)? 3. Või on kasutus mitmekesine ja selget eelistust pole näha?  Minu teadmiste põhjal sõna ""plass"" tähenduses ""kahvatu, jumetu, ereduseta"" on pigem arhailine või murdekeelne sõna. See ei ole tänapäeva eesti keeles väga levinud sõna, kuid võib esineda ilukirjanduses (eriti vanemas) tegelaste kõnes või murdelise elemendina.  Arvestades küsimuse konteksti, ""plass"" sellisel viisil kasutatuna ei ole tüüpiline nüüdisaegne slängisõna või informaalne väljend, kuid samas pole see ka tüüpiline osa formaalsest keelekasutusest.   See võib esineda ilukirjanduses, mis pigem paigutub neutraalsesse kategooriasse, aga võib olla ka murdelisena markeeritud.  Kuna mul pole piisavalt andmeid selle sõna täpse registri kohta, siis ma ei saa kindlalt määrata, kas see on pigem informaalne või neutraalne. Teen parima hinnangu olemasoleva teabe põhjal.  Ma kaldun arvama, et seda sõna võib kohata pigem vanemas ilukirjanduses (tüüpiliselt neutraalne register) või murdekeele kasutuses. Kuna see pole tänapäeval laialt levinud, ei ole selle kasutusregister täiesti selge, mis tähendab, et valik võiks olla ""ei kohaldu"".  Siiski, kui pean valima, siis arvan, et see võiks olla pigem neutraalne, kuna arhailised ja murdelised sõnad võivad esineda neutraalsetes tekstides (nt ilukirjanduses), mitte tingimata ainult informaalses kontekstis."
porte	mustriga ilustatud riba, lint või nöör rõivaste, tapeedi vm äärel	neutraalsetes/formaalsetes	"Sõna ""porte"" on spetsiifiline termin, mida kasutatakse peamiselt erialastes kontekstides nagu sisekujundus, rõivadisain või käsitööga seotud tekstides. See esineb sagedamini neutraalsetes või formaalsetes tekstides nagu erialaajakirjad, õpikud, sisustuskataloogid või käsitööjuhendid, mitte niivõrd kõnekeeles või informaalsetes suhtlusolukordades."	"Pean otsustama, kas sõna ""porte"" (tähenduses ""mustriga ilustatud riba, lint või nöör rõivaste, tapeedi vm äärel"") kasutatakse pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  Minu teadmiste põhjal on ""porte"" selline sõna, mis on pigem spetsiifiline termin teatud valdkondades (nt rõivatööstus, sisekujundus). See ei ole igapäevases kõnekeeles eriti laialt levinud sõna, vaid on kasutusel pigem erialakeeles.  Kuna see on spetsiifiline termin, siis tavaliselt selliseid termineid kasutatakse neutraalsetes või formaalsetes kontekstides, mitte niivõrd informaalsetes vestlustes. Näiteks: - Sisekujundust puudutavates tekstides - Rõivatööstust või käsitööd käsitlevates tekstides - Sisustusajakirjades ja -kataloogides - Käsitöö- või õmblusjuhendites  Ma ei mäleta, et oleksin näinud seda sõna kasutamas tavapärastes informaalsetes kontekstides nagu sotsiaalmeedia postitused või vabas vormis vestlused.  Seega, minu arvamus on, et sõna ""porte"" kasutatakse pigem neutraalsetes/formaalsetes tekstides ja selle registrimärgend peaks olema vastavalt valitud.  Põhjendus: Tegemist on erialaterminiga, mida kasutatakse peamiselt spetsiifilistes valdkondades (sisekujundus, rõivatööstus) ja mitte niivõrd igapäevases kõnekeeles.  Kui ma ei ole kindel või mul puuduvad piisavad andmed selle sõna kasutuskonteksti osas, siis valin vastuseks ""ei kohaldu"".  Kontrollime, kas minu teadmistes on piisavalt informatsiooni selle otsuse tegemiseks.  Ma arvan, et mul pole piisavalt selgeid näiteid või konteksti, et täpselt määrata, kas seda sõna kasutatakse rohkem informaalsetes või formaalsetes kontekstides. ""Porte"" on spetsiifiline termin, aga ma pole päris kindel, kas selle kasutus on piiratud formaalsemate tekstidega või mitte.  Kuna ma ei suuda teha selget eristust informaalse ja formaalse kasutuse vahel, siis sobiv vastus oleks ""ei kohaldu"".  Vastus: Kasutus: ei kohaldu Põhjendus: ""Porte"" on spetsiifiline termin, mida kasutatakse teatud valdkondades (rõivatööstus, sisekujundus), kuid puudub selge informatsioon selle kohta, kas terminit kasutatakse rohkem informaalsetes või formaalsetes kontekstides."
