Katsesõna	ÜS_definitsioon
Toila	alevik Ida-Viru maakonnas Toila vallas (Jõhvi kihelkonnas)
toime panema	sooritama, korda saatma (sageli õigusvastaste tegude kohta)
toime saama	mingis tegevuses tulemuslik olema, midagi (ära) korraldama
toime tulema	mingis tegevuses tulemuslik olema, midagi (ära) korraldama
toimeabi	looduskatastroofide, näljahäda, sõja vms korral inimestele osutatav kiireloomuline abi nt toidu, riiete ja ravimite näol
toimekas	ettevõtlik, aktiivne
toimekus	(suur) teovõime
toimetaja	saadet, raamatut, artiklit, uudist vms materjali avaldamiseks ette valmistav töötaja
toimetama	midagi või kedagi ühest kohast teise kandma, sõidutama, saatma vm
toimetis	seltsi, teadus-, õppe- vm asutuse teadustööde ja -uuringute perioodiline väljaanne
toimetu	(aine, ka ravimi kohta:) selline, mis ei toimi, ilma toimeta
toimetulek	"võime millegagi hakkama saada, toime tulla	 milleski tulemuslik olemine"
toimetus	"selle kitsam valdkondlik allosa	 inimeste rühm, kes tegeleb ajalehe, ajakirja, saadete, raamatute tegemisega ja/või väljaandmisega"
toimik	"(ülekantult ka asja kohta, mille kohta vastavad dokumendid käivad)	 üheks kaustaks koondatud dokumentide kogum"
toimima	"mõju avaldama	 funktsioneerima, töötama"
toiming	tegu, tegevus, toimetus
toimkond	"rühm inimesi mingi ülesande täitmiseks	 korraliste teenistusülesannete täitmiseks määratav allüksus või meeskond"
toimkondlane	toimkonna liige, toimkonnas olija
toimne	(kanga siduse kohta:) selline, kus koelõng katab järjest mitut lõimelõnga ja vastupidi, nii et kangale moodustuvad diagonaalsed jooned (nt denim-kangal, tvillil)
toimuma	(sündmuse või protsessi kohta:) teoks saama, aset leidma
toimunu	see, mis on toimunud
toit	see, mida süüakse, et hankida eluspüsimiseks vajalikke aineid
toitaine	aine, mis on organismile vajalik ainevahetuses või energiallikana (nt valgud, süsivesikud, rasvad, mineraalained)
toitainerikas	elustiku poolest rikkalik ja mitmekesine
toiteaine	aine, mis on organismile vajalik ainevahetuses või energiallikana (nt valgud, süsivesikud, rasvad, mineraalained)
toiteline	organismi toitumisega seotud
toitev	(toidu kohta:) rohkesti toitaineid sisaldav, suure toiteväärtusega
toiteväärtus	toidu energeetilise väärtuse ja toitainete sisalduse põhjal määratav toiduaine väärtus
toitja	see, kes kellegi või millegi eest majanduslikku hoolt kannab
toitlus	"toiduga, toiduainetega varustamine	 organismi toitainevajaduse rahuldamine	 söömisega seonduva korraldamine, kellegi organiseeritult toitmine"
toitlustama	söömisega seonduvat korraldama, kedagi organiseeritult toitma
toitlustus	"söömisega seonduva korraldamine, kellegi organiseeritult toitmine	 toiduga, toiduainetega varustamine"
toitmine	söögi andmine, toidu söötmine
toituma	midagi või kedagi toiduks tarvitama, toiduvajadust rahuldama
toitumine	organismi toitainevajaduse rahuldamine
toitumus	toitumisest tulenev organismi seisund
toitvus	(suur) toiteväärtus
tokerdama	pulstunult sassis, sakris olema või selliseks minema
tokerjas	(juuste, karva kohta:) sasitud, (pulstunult) sassis
tokk	väike lõngaviht
toks	"sellega kaasnev heli	 linnu nokalöök või üldse kerge löök"
toksama	kergelt lööma või müksama, õrnalt tõukama
toksatama	kergelt korraks midagi puutuma, toksti millegi vastu sattuma
toksatus	"sellega kaasnev heli	 linnu nokalöök või üldse kerge löök"
toksikoos	haigusseisund, mis tekib organismi sattunud või seal tekkiva mürgise aine toimel
toksiline	elule või tervisele ohtlik, mürgina toimiv või mürkaineid sisaldav
toksima	korduvalt kergeid lööke andma, kergelt taguma
toladus	tobedus, lollus, tolategemine
tolatsema	lollusi tegema, totralt, tolana käituma
Toledo	linn Hispaanias, Castilla-La Mancha pealinn
tolerantne	selline, kes tunnustab, sallib mingit nähtust, harjumuspärasest erinevat, on heatahtlik teiste, erisuguste suhtes
tolerantsus	"organismi vastupanuvõime välistegureile, nt ravimi, uimasti mõjule	 heatahtlik, salliv suhtumine harjumuspärasest erinevasse	 teistsuguste inimeste või inimrühmade, nende arvamuste, hoiakute, kommete tunnustamine"
tolereerima	"kellegi või millegi suhtes rahulikult, heatahtlikult meelestatud olema	 kedagi või midagi taluma, välja kannatama"
tolgendama	lõdvalt, korratult (alla, kuskilt välja) rippuma
tolknema	lõdvalt, korratult (alla, kuskilt välja) rippuma
tollane	mingil möödunud ajal, tol ajal olnud, toimunud vms
tolleaegne	mingil möödunud ajal, tol ajal olnud, toimunud vms
tollhaaval	"suure põhjalikkusega	 väga aeglaselt (edenedes), üks väike osake korraga"
tollilõiv	riigipiiri ületavalt kaubalt võetav maks
tollimaks	riigipiiri ületavalt kaubalt võetav maks
tolline	ühe tolli (umbes 2,5 cm) pikkune või paksune
tolm	väga väikeste, õhus heljuda võivate tahke aine osakeste kogum
tolmama	tolmu levitama
tolmeldama	õietolmu õie emakasuudmele kandma, tolmlemist esile kutsuma
tolmjas	väga peenikestest osakestest koosnev, tolmu meenutav
tolmlema	(õietolmu kohta:) taimede viljastumisprotsessi osana edasi kanduma
tolmsuhkur	väga peeneks jahvatatud suhkur
tolmuimeja	masin, mis kõrvaldab tolmu seda endasse imedes
tolmuma	tolmuga kattuma, tolmuseks saama
tolmune	"tolmuga kaetud, tolmukihi all	 tolmu sisaldav, tolmu täis vms"
tolmupüüdel	seadis tolmu eemaldamiseks õhust vm gaasidest
tolmupüüdur	seadis tolmu eemaldamiseks õhust vm gaasidest
tolmustuma	tolmuks muutuma
tolmusus	tolmune olek, tolmukihi all olemine
tolmutama	"midagi tolmu tekitades tegema	 tolmu tekitama või üles ajama"
tolvan	rumal, taipamatu inimene, lollpea
Tom	Obi lisajõgi Venemaal
tomahook	Põhja-Ameerika indiaanlaste kerge sõjakirves
tomat	köögiviljana kasvatatav peamiselt punaste lihakate viljadega rohttaim
Tombouctou	linn Malis
tombuline	tompe sisaldav, tompudega
tomp	miski või keegi ebamäärase kujuga
tompjas	tombutaoline, tükkis
tompu	(pehme aine, materjali kohta:) tükki, tombuks või tompudeks
tompus	"(pehme aine, materjali kohta:) tükkis, tompu või tompe sisaldav	 (pehme aine, materjali kohta:) tükkis, tompu või tompe sisaldav"
tonaalne	(hrl muusikas:) tonaalsusega iseloomustatav, tonaalsusesse puutuv
tonditama	kummitama, tondina hirmutama
tongi	(kergelt) purju
tongis	"alkoholiuimas, napsitanud (olekus), (kergelt) purjus	 alkoholiuimas, napsitanud (olekus), (kergelt) purjus"
toniseerivalt	toonust tõstvalt
tonkama	"võõrast keelt selle puuduliku oskamise tõttu vaevaliselt, vigaselt rääkima	 kergelt lööma või müksama, õrnalt tõukama"
tonkima	"korduvalt müksama, kergelt tõukama või lööma	 kergeid lööke andma"
tonksama	kergelt lööma, müksama
tonksima	"korduvalt müksama, kergelt tõukama või lööma	 kergeid lööke andma"
tonksti	(väljendab tukkumisel pea allapoole vajumist)
tonn	massiühik, 1000 kilogrammi
tonnaaž	"vaguni, auto kandevõime tonnides	 laeva või laevastiku veeväljasurve tonnides, ka mahutavus registertonnides"
tonsill	lümfikoest koosnev paariline elund kurgus, suulaes ja keelepäras
tontlik	"tondile omane või tonti meenutav	 hirmutav, ähvardav"
toober	ülalt laienev kahe kõrvaga ja sõõriku põhjaga puunõu
toodang	ettevõttes, majandusharus toodetu (valmistatud tooted, põllumajandussaadused vms)
tooja	see, kes toimetab midagi kuskile
tookordne	mingil möödunud ajal, tol ajal olnud, toimunud vms
tool	hrl nelja jalaga ja seljatoega iste ühe inimese jaoks
Toolamaa	küla Põlva maakonnas Räpina vallas (Räpina kihelkonnas)
Toolse	küla Lääne-Viru maakonnas Haljala vallas (Haljala kihelkonnas)
toom	valgete lõhnavate õiekobarate ja mustade või punaste luuviljadega lehtpuu või -põõsas
tooma	kedagi või midagi kellelegi või kuhugi toimetama (kaugemalt lähemale)
Tooma	küla Jõgeva maakonnas Jõgeva vallas (Simuna kihelkonnas)
toomepuu	valgete lõhnavate õiekobarate ja mustade või punaste luuviljadega lehtpuu või -põõsas
toomingane	toomingapuust, -koorest, -vitstest tehtud
toompuu	valgete lõhnavate õiekobarate ja mustade või punaste luuviljadega lehtpuu või -põõsas
toonane	mingil möödunud ajal, tol ajal olnud, toimunud vms
toonekurg	suur pika kaela, pikkade jalgade ja pika nokaga lind
toonela	surnute asupaik eesti rahvausundis
tooni andma	valdavalt esil olema, sellisena mõju avaldama
Tooninga	asula Lätis Kuramaal
tooraine	töötlemata või osaliselt töödeldud materjal, mida kasutatakse valmistoodete tootmisel
tooraks	kaela ja kõhu vaheline kere osa
toore	töötlemata või osaliselt töödeldud materjal, mida kasutatakse valmistoodete tootmisel
toorjuust	värske, laagerdamata pehme (kreemjas) juust (nt feta, Philadelphia juust)
toormaterjal	töötlemata või osaliselt töödeldud materjal, mida kasutatakse valmistoodete tootmisel
toormoos	"suhkruga hõõrutud marjad või puuviljad	 nii valmistatud toorhoidis"
toorus	"hoolimatus, jõhkrus	 selline käitumine, tegu, jutt vms"
toorutsema	toorelt käituma, tooreid võtteid kasutama
toos	karbike vms anum hrl millegi hoidmiseks
toosamane	"tollega (eelnevalt teada oleva või mainituga) võrreldes jätkuvalt sama, mitte muu või teine	 tollega (eelnevalt teada oleva või mainituga) võrreldes jätkuvalt sama, mitte muu või teine"
toosamune	"tollega (eelnevalt teada oleva või mainituga) võrreldes jätkuvalt sama, mitte muu või teine	 tollega (eelnevalt teada oleva või mainituga) võrreldes jätkuvalt sama, mitte muu või teine"
toost	lühike, mõnesõnaline kõne tervisejoomisel
tootemark	"toode, mis sellise nime või kujutise abil eristub	 nimi või kujutis, mis eristab toodet eristav ja loob kuvandit"
tootesari	rühm ühe kaubamärgiga seotud (ühelaadseid) tooteid
tootlikkus	tootmise efektiivsust väljendav näitaja, nt väärtuse hulk, mida töötaja suudab luua teatud ajavahemikus
tootmine	masinate, seadmete abil (suures koguses) asjade, kaupade valmistamine
tootmisalane	tootmisega seotud, sellesse puutuv või seda käsitlev
tootmisharu	"vastav tegevussuund	 valdkond, mis tegeleb energia, masinate, seadmete, tööriistade, tarbekaupade vm tootmisega"
tootmislik	tootmisesse puutuv, tootmisega seotud
tootmispraktika	tehnika- ja põllumajandusalade õpilaste ja üliõpilaste praktika, kus harjutatakse tegelikku tootmistööd
Tootsi	alev Pärnu maakonnas Põhja-Pärnumaa vallas (Pärnu-Jaagupi kihelkonnas)
top	paremusjärjestus, pingerea paremik
topeltmoraal	erinev suhtumine või käitumisviis sõltuvalt sellest, kellele see suhtumine või käitumine suunatud on
topeltstandard	erinev suhtumine või käitumisviis sõltuvalt sellest, kellele see suhtumine või käitumine suunatud on
topend	vahend, mis tihendab tihenduskarbi ühenduskohti
topiline	(hrl riideeseme või kanga kohta:) harunenud, tokerdanud lõnga-, villa- või karvatupsukesi enda pinnal omav
topistuma	(bronhi, veresoone vm kohta:) sulguma ummistava moodustise või mujalt kandunud kehakese tõttu
topistus	"veresoone, bronhi vm ummistumine mingi moodustisega või mujalt tulnud kehakesega	 vastav seisund"
topka	"väike napsiklaas, (viina)pits	 viina- vms pits"
topograafia	"maakoha üksikpunktide vastastikune asetus	 maapinna mõõdistamise ja kaardistamise õpetus, geodeesia haru"
toponomastika	nimeteaduse haru, mis keskendub kohanimedele
toponüüm	geograafilise objekti (mere, jõe, mäe, asula vms) nimi (nt Aafrika, Vaikne ookean, Tallinn)
toponüümia	mingi piirkonna kohanimed
toponüümika	nimeteaduse haru, mis keskendub kohanimedele
topp	lühike liibuv pluus
topp	väike riidest, paberist, vatist vm materjalist nutsak hrl millegi sulgemiseks või täitmiseks
topp	paremusjärjestus, pingerea paremik
toppuma	(bronhi, veresoone vm kohta:) sulguma ummistava moodustise või mujalt kandunud kehakese tõttu
tops	pehme ümara kujuga moodustis, nt kaunistusena millegi otsas või küljes
topsel	
topsik	väike jooginõu
topsutama	"õrnalt vajutades mingit ainet pinnale kandma	 hrl millegi pehmega kergelt, korduvalt vajutama"
torbik	millestki keeratud kooniline ajutine nõu
tore	"(millegi või kellegi välimuse kohta:) kena, nägus, uhke	 (inimese olemuse, mingi nähtuse, tegevuse vm kohta:) selline, kes või mis kutsub esile poolehoidu, meeldimust, sümpaatiat"
toreadoor	härjavõitlusest osavõtja, härjaga võitleja
toredus	"(väline) hiilgus, (väline) sära, suursugusus	 uhke, ilus ese või sellised esemed"
toreero	härjavõitlusest osavõtja, härjaga võitleja
toretsema	"välist hiilgust, toredust taga ajama	 (liialdatult) uhkena, silmahakkavana esile tulema"
toretsus	uhkeldamine, silma paista tahtmine, toretsemine
torge	hrl teravaotsalise asjaga millegi sisse järsult vajutamine
Torgu	paik (küla) Saare maakonnas Saaremaa vallas (Jämaja kihelkonnas)
torin	suuline rahulolematuse, pahane-oleku väljendus
toriseja	inimene, kes alailma (natuke) nuriseb, väljendades oma rahulolematust või pahameelt
torisema	rahulolematust või pahameelt väljendama, millegi üle nurisema
torkima	"hrl teravaotsalise asjaga korduvalt kuhugi sisse vajutama	 (terava otsaga asja kohta:) millessegi korduvalt sisse minema, midagi kraapima vms"
torm	"väga tugev tuul	 äge, läbematu, tasakaalutu"
Torma	alevik Jõgeva maakonnas Jõgeva vallas (Torma kihelkonnas)
tormaja	(jalgpallis:) peamiselt ründeülesannetega võistleja, edurivimängija
tormakas	äge, läbematu, tasakaalutu
tormi jooksma	millegi hankimiseks kuhugi tormama, kuhugi jaole jooksma
tormijooks	otsustav lähivõitlusega üldpealetung vastase kindluse, tugipunkti või positsioonide vallutamiseks
tormiline	(mingit tegevust, selle kulgemist iseloomustades:) äge, intensiivne, väga hoogne
tormine	(ilma vm loodusnähtuse kohta:) väga tugeva tuulega, millega sageli kaasneb vihm, tuisk või äike
tormipagu	paopaik tormi eest
tormitsema	(ilma vm loodusnähtuse kohta:) tormine, rajune olema, metsiku jõuga liikuma
torniline	tornidega, torne omav
Tornimäe	küla Saare maakonnas Saaremaa vallas (Pöide kihelkonnas)
tornjas	kujult torni meenutav
Toronto	linn Kanadas
torpedeerima	hrl laeva torpeedoga ründama või põhja laskma
torssi	tusaseks, mossi, tujust ära
torssis	"tusane, mossis, tujust ära	 tusane, mossis, tujust ära"
tort	suur, hrl ümmargune mitmekihiline kaunistatud kook
tortsutama	väikeste koguste kaupa langema või langeda laskma
torugaas	torustiku kaudu transporditav maagaas
torujas	kujult toru meenutav
torujüri	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp
torulukksepp	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp
torumees	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp
torupill	hülgemaost või loomanahksest tuulekotist ja 2-3 puutorust koosnev puhutav rahvapill
torustik	torude süsteem, torud
torutus	liigvee kogumiseks ja ärajuhtimiseks maasse rajatud veejuhtmestik, dreenide süsteem
toruujumine	toru kaudu hingates ujumine
Toscana	Itaalia maakond
toss	spordi- ja vabaajajalats
tossama	suitsu või auru välja ajama, suitsema või aurama
tossune	suitsu või auru, tossu sisaldav, seda täis
tossutama	(liiklusvahendi kohta:) suitsu või auru välja paiskama
totaal	üldine, kõikehaarav, täielik
totaalne	üldine, kõikehaarav, täielik
totalitaar	(ühiskonna, riigi kohta:) tugevasti tsentraliseeritud, autokraatlikul või diktaatorlikul võimukasutusel põhinev, totalitarismil rajanev
totalitaarne	(ühiskonna, riigi kohta:) tugevasti tsentraliseeritud, autokraatlikul või diktaatorlikul võimukasutusel põhinev, totalitarismil rajanev
totemistlik	totemismiga seotud, sellele omane
totter	(asjaolude, olukordade, nähtuste ja muu sellise kohta:) rumalust ilmutav, naeruväärne, tobe
tr	mingi trükise korraga trükitud partii
traadistik	traadid, traatide süsteem või kogum
traageldama	kergelt mõne pistega kokku õmblema
traageldus	"kokkuõmblemise tulemus	 kergelt mõne pistega kokkuõmblemine"
traagika	mingist suurest kaotusest vm õnnetusest põhjustatud kurb ja raske olukord või olek
traaler	kalade, kalmaaride ja krevettide püügiks kasutatav laev, millelt põhiliselt püütakse järelveetava traalnoodaga
traalima	traaliga kalu või vees olevaid esemeid püüdma
traalnoot	kotitaoline laeva või paadi taga veetav võrkpüünis
traat	pikk ja peenike, hrl ümmarguse ristlõikega metallriba, mida kasutatakse nt sidumismaterjalina, juhtmete valmistamiseks
traathääling	raadiolainete vastuvõtmine ja edastamine ülekandeliinide abil
traatjas	(kujult, tugevuselt) traaditaoline
traav	hobuse ühtlane kiire jooks, kus vaheldumisi puudutavad üheaegselt maad vastaspoolne esi- ja tagajalg
traavel	kiirsõiduhobune, kelle põhiline liikumisviis on traav
traavihobune	kiirsõiduhobune, kelle põhiline liikumisviis on traav
Trabzon	linn Türgis
traditsionaalne	"tavaks saanud, tavapärane	 pikaajalist varasemat eeskuju järgiv, traditsioonil põhinev"
traditsioon	"põlvest põlve eeskuju najal edasi antud, kellelegi pärandatud (väga vana) komme, uskumus vms	 selliste kommete kogum"
traditsiooniline	"tavaks saanud, tavapärane	 pikaajalist varasemat eeskuju järgiv, traditsioonil põhinev"
Trafalgar	neem Hispaania lõunarannikul
trafaretne	üldtuntud, paljukasutatud, kulunud
tragi	hakkamist täis, usin ja ettevõtlik
tragikomöödia	näidend või film, mis käsitleb traagilist ainestikku koomiliselt või vastupidi, üks komöödia vorme
tragikoomiline	kurb ja ühtlasi naljakas
tragism	mingist suurest kaotusest vm õnnetusest põhjustatud kurb ja raske olukord või olek
tragöödia	suur õnnetus, traagiline sündmus või asi
trah	"annab edasi nt laskmise, plahvatuse, järsu löögi, tugeva astumise heli	 annab edasi nt laskmise, plahvatuse, järsu löögi, tugeva astumise heli"
trahh	"annab edasi nt laskmise, plahvatuse, järsu löögi, tugeva astumise heli	 annab edasi nt laskmise, plahvatuse, järsu löögi, tugeva astumise heli"
trahhea	kõrile järgnev hingamisteede torujas elastne osa
trahter	maalähedane restoran, kõrts vms söögikoht
trahv	karistusena määratav rahanõue
trahvima	trahvi määrama, trahviga karistama
trajektoor	kujuteldav joon, mida mööda keha tasapinnal või ruumis liigub, keha liikumistee
Trakai	linn Leedus
traks	hakkamist täis, usin ja ettevõtlik
trakt	(organismi kehas:) kulgemistee, liikumistee (nt seedekulgla)
trakteerima	"tõlgendama	 arutlema, käsitlema"
traktor	suure jõudlusega mootorveok haake- või rippmasinate või -riistadega töötamiseks ning veoste teisaldamiseks
traktorist	traktorijuht
trall	kärarikas lõbutsemine, hoogne pidutsemine
trallallaa	annab edasi rõõmutunnet, juubeldust
trallama	"(lärmakalt) pidutsema	 lõbusalt, lustlikult aega veetma, meelt lahutama"
trallima	"(lärmakalt) pidutsema	 lõbusalt, lustlikult aega veetma, meelt lahutama"
trallitama	"(lärmakalt) pidutsema	 lõbusalt, lustlikult aega veetma, meelt lahutama"
tramburai	kärarikas mürgel, möll, madin vms
tramm	linnatänavate rööbasteedel liikuv ühest või mitmest vagunist koosnev sõiduk inimeste veoks
trampima	korduvalt jalgadega kõvasti vastu maad lööma
tramplaev	juhuvedusid tegev kaubalaev
trampliin	vettehüpetes, rallispordis vm kasutatav tõukejõudu suurendav seadeldis
trankvillisaator	ravim, mis leevendab ärevust, pingetunnet ja agressiivsust
transformeerima	"teatud ainete omadusi mitmesugusel viisil muutma (nt geneetiliselt, keemiliselt)	 paremaks, (olemuslikult) teiselaadiliseks muutma"
transgeenne	(taime või looma kohta:) selline, millesse on omaduste parandamiseks viidud teisest organismist pärit geen, muudetud genoomiga
Transhimaalaja	mäeahelik Tiibetis
transiidimaa	riik, mille läbi toimub kauba või reisijate vedu ühest riigist teise
transiidisadam	transiitvedude sadam
transiidiviisa	välismaalasel teatud riigist läbisõitu lubav viisa
transiit	kauba (või reisijate) vedu ühest riigist teise läbi kolmanda riigi
transiitkaup	transiidina veetav kaup
transiitmaa	riik, mille läbi toimub kauba või reisijate vedu ühest riigist teise
transiitne	läbiveetav, läbiminev
transiitsadam	transiitvedude sadam
transiitvedu	kauba (või reisijate) vedu ühest riigist teise läbi kolmanda riigi
transiitviisa	välismaalasel teatud riigist läbisõitu lubav viisa
transitiiv	tegusõna, mis väljendab sihilist tegevust ja esineb hrl koos sihitisega (nt lükkama, võtma)
transitiivne	(tegusõna kohta:) selline, mis esineb lauses hrl koos sihitisega
transitiivsus	(tegusõna kohta:) omadus esineda lauses hrl sihitisega, s.t et väljendatud tegevus või olukord on otseselt millelegi suunatud
transkriptsioon	"häälduse üleskirjutus	 selleks kasutatavate tähtede ja märkide süsteem"
translatiiv	(grammatikas:) kääne, mis vastab küsimustele kelleks?, milleks? (nt vennaks, majaks)
translatsioon	sündmuse, saate, reportaaži vm edastamine veebi, raadio, televisiooni vm sidekanali kaudu
transliteratsioon	"täht-tähelt ühest kirjast, tähestikust teise üle kandmine, translitereerimine	 sel viisil kirja pandud tekst"
transparentne	(aine või eseme kohta:) selline, millest läbi vaadates on näha, mis on teisel pool
transporditavus	"vastupidavus transportimisele	 mugavus, kergus millegi transportimiseks"
transporditöö	transpordiga seotud töö, millegi vedamine, tassimine vms
transporditööline	transporditööd tegev inimene
transpordivahend	mis tahes sõiduriist, millega kedagi või midagi ühest kohast teise toimetatakse
transportima	kaupa, koormat, inimesi vms ühest kohast teise toimetama
transportimine	inimeste, kauba, materjalide vm ühest kohast teise toimetamine veovahendiga
transporttöö	transpordiga seotud töö, millegi vedamine, tassimine vms
transportöör	seade lasti, materjali või toodete teisaldamiseks pideva vooluna
transseksuaal	inimene, kelle sooline identiteet ja/või sooline eneseväljendus ei lange kokku tema sünnipärase sooga
transseksuaalne	selline, kelle sooline identiteet ja/või sooline eneseväljendus ei lange kokku tema sünnipärase sooga
transsooline	"selline, kelle sooline identiteet ja/või sooline eneseväljendus ei lange kokku tema sünnipärase sooga	 inimene, kelle sooline identiteet ja/või sooline eneseväljendus ei lange kokku tema sünnipärase sooga"
transsooline inimene	inimene, kelle sooline identiteet ja/või sooline eneseväljendus ei lange kokku tema sünnipärase sooga
transvaal	"madin, möll, kisa-kära	 madin, möll"
transvestism	soov näida teise soosse kuuluvana, eriti kanda teise soo rõivaid
transvestitism	soov näida teise soosse kuuluvana, eriti kanda teise soo rõivaid
trapets	nelinurk, mille üks paar vastaskülgi on paralleelsed ja teine paar ei ole
trapp	restiga avaus (põrandas, kraanikausis) vee äranõrgumiseks (nt köögis, saunas, duširuumis)
trass	ettevalmistatud pikk maariba (nt süvend, puhastatud maariba või seda tähistav joon), kuhu rajatakse maantee, raudtee, torustik vm pikk rajatis
tratt	võlakiri, mille esitajale maksab vekslisumma välja kolmas isik veksli väljaandja korraldusel
trauma	välisteguri või psüühilise mõjuri tekitatud tervisekahjustus
traumapunkt	raviasutus või selle osa, kust saab õnnetuse või ohtliku tervisehäda puhul kiirelt arstiabi
traumeerima	(psüühilist) traumat tekitama
traväär	(ratsutamises:) üks külgliikumisi
treener	"sportlaste õpetaja ja võistlusteks ettevalmistaja	 treeningu läbiviija, juhendaja"
treenima	teatud kehaliste või vaimsete omaduste saavutamiseks või säilitamiseks süstemaatiliselt harjutama
treening	"harjutamine kehaliste või vaimsete võimete arendamiseks	 vastav puhk, treeningukord"
treeningkava	treeningu läbiviimise üksikasjalik, eesmärgipärane plaan
treeninglaager	sportlastele treenimiseks korraldatud laager (nt enne suuremaid võistlusi)
treeningpartner	treeningukaaslane
treeningplaan	treeningu läbiviimise üksikasjalik, eesmärgipärane plaan
treeningpäevik	"koht nende tegemiseks, nt märkmik, virtuaalne keskkond	 sportlase või treeneri märkmed treeningukoormuste, tulemuste vms kohta"
treeningpüksid	dressi alumine osa, hrl pikad spordipüksid
treeningrühm	treeneri juhendamisel korrapäraselt kogunev ja treeniv (harrastus)sportlaste rühm
treeningtund	üks treeningukord
treeningugrupp	treeneri juhendamisel korrapäraselt kogunev ja treeniv (harrastus)sportlaste rühm
treeningukava	treeningu läbiviimise üksikasjalik, eesmärgipärane plaan
treeningukoormus	treeningul rakendatav koormus, treeningu intensiivsus
treeningulaager	sportlastele treenimiseks korraldatud laager (nt enne suuremaid võistlusi)
treeningupartner	treeningukaaslane
treeninguplaan	treeningu läbiviimise üksikasjalik, eesmärgipärane plaan
treeningupäevik	"sportlase või treeneri märkmed treeningukoormuste, tulemuste vms kohta	 koht nende tegemiseks, nt märkmik, virtuaalne keskkond"
treeningupüksid	dressi alumine osa, hrl pikad spordipüksid
treeningurühm	treeneri juhendamisel korrapäraselt kogunev ja treeniv (harrastus)sportlaste rühm
treeningutund	üks treeningukord
treeninguvahend	treenimiseks kasutatav vahend
treeningvahend	treenimiseks kasutatav vahend
treenitus	"treenitud olek	 selle aste, määr"
treial	treipingil töötav oskustööline
treima	esemeid treipingil lõiketöötlusega valmistama, treipingil töötlema
Treimani	küla Pärnu maakonnas Häädemeeste vallas (Häädemeeste kihelkonnas)
treimine	
treipink	treimisel kasutatav tööpink (pöörlevat toorikut töödeldakse laastude lõikamise teel)
trell	käes hoitav (elektri)tööriist puurimiseks
trellitama	trellidega varustama
tremulant	(foneetikas:) kaashäälik, mis moodustatakse keele vm hääldusorgani vibreerimisega (nt r)
trendikas	"valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	 käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav"
trenn	"harjutamine kehaliste või vaimsete võimete arendamiseks	 vastav puhk, treeningukord"
Trentino-Alto Adige	autonoomne maakond Itaalias
trepikoda	mitmekorruselise hoone koridoriosa, kus asuvad trepp ja mademed
trepiline	"treppidega, astmeline	 auklik, järskude konarustega"
trepimade	trepi (ka trepikoja) osa kahe trepikäigu vahel (ja viimase trepikäigu peal)
trepistik	trepid, treppide rida
trett	"käik, teekond	 kord"
trg	üks turgi keeli, Türgi riigikeel
trianguleerima	asukohta kindlaks määrama külgnevate kolmnurkade võrgu abil
triblama	palli või litrit kergete löökidega või põrgatades edasi toimetama (nt jalgpallis, korvpallis, hokis)
Trieste	linn Itaalias
trigonaalne	kolmnurga kujuga
trihapnik	hapniku teisend, suhteliselt ebapüsiv iseloomuliku lõhna ja sinaka värvusega gaas, aine, mis neelab organismidele ohtlikku ultraviolettkiirgust
trihhiin	inimese või looma peensooles parasiteeriv väike ümaruss
trihhinelloos	inimeste ja loomade nakkushaigus, mida põhjustab lihastesse kapselduv ümaruss Trichinella spiralis
trihhinoos	inimeste ja loomade nakkushaigus, mida põhjustab lihastesse kapselduv ümaruss Trichinella spiralis
trihhofüütia	koduloomade ja inimese krooniline naha seenhaigus, mis loomadel avaldub karvade laigutises väljalangemises, inimesel kahjustab ka juukseid ning küüsi
triibuline	triipe omav, triipudega, triibumustriline
triibustik	triibud, triipude kogum
Triigi	küla Harju maakonnas Kose vallas (Kose kihelkonnas)
triikraud	hrl elektriga töötav sileda kuumutatava tallaga, käes hoitav tööriist riiete, linade jt tekstiilesemete silumiseks ja pressimiseks
triiksärk	meeste (pidulik) päevasärk
triip	pikk ja kitsas joon või riba millegi pinnal, mis muust eristub hrl värvi poolest
triiphoone	klaasist vm valgust läbilaskvast materjalist katuse ja seintega ehitis kultuurtaimede kasvatamiseks
triiton	väike pikliku keha ja pika lapiku sabaga kahepaikne
triivima	tuulest, hoovustest aetuna aeglaselt liikuma
triivvõrk	vees ujuv võrgujada (triivpüügil)
trikk	erilist oskust, ettevõtmist vms nõudev toiming
trikoo	keha ümber liibuv trikooriidest riietusese (nt supelkostüüm, võimlemistrikoo)
trikotaaž	trikooriidest valmistatud esemed
trillallaa	annab edasi rõõmutunnet, juubeldust
triller	põnev, pingestatud sündmustikuga romaan, jutustus, film vms
trillerdama	(lindude kohta:) ühest helist teise üleminevalt, trilleritega laulma
triloog	kõnelus, mõttevahetus kolme isiku vahel
trimpama	alkohoolseid jooke pruukima, napsi võtma
Trinidad	saar Väikestes Antillides, Trinidadi ja Tobago osa
trinoom	(algebralises avaldises:) kolme üksliikme summa
trio	kolmest interpreedist või lauljast koosnev ansambel
