Katsesõna	Tähendus
tinakas	joomiskõlbmatuks tehtud piiritus vm aine, mis on mõeldud ainult tehniliseks kasutamiseks
tindijüri	(kirjatöötegija kohta)
tinutama	(ohtralt, kanget) alkoholi jooma, viina võtma
tips	väike kogus alkoholi
tiss	"üks kahest naise pehmest ümarast elundist, millest lapse sünni järel eritub piima	 üks kahest ümarast pehmest osast naise kehal, kust beebi saab piima juua"
tissima	rinda imema
tohterdama	ravima, ravitsema
tohutu	väga, määratult
toi	vana mees
tong	(padruni) sütik
tongi	(kergelt) purju
tongis	alkoholiuimas, napsitanud (olekus), (kergelt) purjus
torujüri	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp
torumees	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp
tou	hoop, löök
transvaal	madin, möll, kisa-kära
trett	"kord	 käik, teekond"
trikkel	päästik (käsitulirelval)
tritsutama	(tritsudega) uisutama
tropp	naps viina vm kangemat alkoholi
trotuaar	"jalakäijate tee, näiteks tänava või maantee ääres	 jalakäijatele mõeldud, hrl kõva kattega kaetud teeosa"
truba	otsast laieneva, pikerguse kujuliseks painutatud toruga, kõrgeima heliulatusega vaskpuhkpill
träni	"igasugused (mõttetud) asjad	 rämps, pahn"
trään	"igasugused (mõttetud) asjad	 rämps, pahn"
tsikkel	"kahe või kolme rattaga mootorsõiduk, mille mootori töömaht on vähemalt 50 cm3 ja mis liigub kiirusega vähemalt 45 km/h	 mootoriga sõiduk, millel on kaks ratast"
tsipa	väike hulk, vähene määr
tsipakene	väike hulk, vähene määr
tss	vaikusele või vaikimisele manitsev häälitsus
tšau	tervitus- ja hüvastijätusõna
tšikk	välimusele suurt rõhku panev, hrl efektne, silmahakkav tüdruk või noor naine
tuhajuhan	rumal, taipamatu inimene, lollpea
tuleriist	relv, mille haavlilaeng, kuul, miin, mürsk vm paiskub rauaõõnest välja püssirohu vm lõhkeaine plahvatusel tekkinud gaaside survel
tulivesi	(viina või piirituse kohta)
tummahammas	(vaikse, sõnakehva inimese kohta)
turuvarblane	endale juhutöödega ülalpidamist teeniv isik
tutakas	löök, hoop
tutikas	täiesti uus
tuunima	"(inimese kohta:) üles lööma, atraktiivseks tegema	 sõidukit vm asja ilusamaks, võimsamaks vms tegema"
tõmbetükk	menukas lavateos
täiega	"täiesti, täielikult	 väga suurel määral, suure intensiivsusega vms"
täika	turg, kus kaubeldakse vanade, kasutatud asjadega
täitsa	osutab millegi täit määra, seda samas rõhutamata
täiturg	turg, kus kaubeldakse vanade, kasutatud asjadega
täto	naha sisse torgitud joonistus, täht või number inimese nahal (hrl kaunistuseks)
tätokas	naha sisse torgitud joonistus, täht või number inimese nahal (hrl kaunistuseks)
täägima	sotsiaalmeedias märgistama, nt pildile nimesilti lisama
tööpost	(esineb väljendites kellegi tööpaiga, ametikoha või töötamisega ühenduses)
tümm	monotoonse tugeva rütmiga muusika
tüng	"altminek, pettasaamine	 altvedamine"
tüürman	eriharidusega laevajuht, kes vastutab ohutu meresõidu eest, kapteni abi
uimerdama	(uimasena) aeglaselt liikuma või tegutsema
uimerdis	(aeglase ja uimase inimese kohta)
ulmekas	ulmežanris film, romaan, jutustus vm teos
umbjoove	väga purjus olek
untsakas	"kerglane, tühine inimene	 linnainimene, linliku elulaadiga inimene"
untsantsakas	"kerglane, tühine inimene	 linnainimene, linliku elulaadiga inimene"
ussipuru	röövikute poolt täiesti rikutud ese, läbinisti ussitanud puuvili vm
ute	emane lammas
uun	"elektriga ahi, mis teeb toidu väga kiiresti soojaks	 mikrolainete abil kiiresti ja ühtlaselt (toitu) kuumutav elektriahi"
va	esineb rõhutus asendis, kuid on tunderõhulise hinnanguga, väljendab hrl kas halvakspanu või tunnustust
vaaritama	süüa (või midagi joodavat) tegema, eriti midagi keetes
vaart	hoog, liikumise kiirus
vabatmees	"endisaegne vabamees	 vaba, siduvate kohustusteta mees"
vaevuma	"millekski (armuliselt, lahkesti) valmis olema	 viitsima midagi teha"
vahmiil	"perekond	 suguvõsa, suguselts"
valevorst	see, kes ilmast ilma valetab, valetaja
valgekrae	ametniku, teenistuja vm hrl kontoritööd tegev inimene
vaps	(aastail 1929–1934:) Eesti Vabadussõjalaste Keskliidu ja Eesti Vabadussõjalaste Liidu liige või toetaja
vedima	tirima, sikutama, vedama
Vene värk	(enamasti ühenduses nõukogudeaegse korralageduse, lohakuse, viletsa kvaliteedi, seadusetusega)
venku	(venelase kohta)
vennaihu	(sealiha kohta)
vennike	(mehe, poisi kohta, sageli haletsevalt või põlastavalt)
vennikene	(mehe, poisi kohta, sageli haletsevalt või põlastavalt)
vigurivärk	kummaline asi, imevigur
viiekas	rahatäht, mille väärtus on viis ühikut (nt viieeurone)
viiemees	viitele õppija, väga hea õpilane
viil	tööst vm tegevusest kõrvalehoidja
viinane	"alkoholijoobes, alkoholi tarvitanud olekus	 selline, kes on joonud nii palju alkoholi, et ei suuda enam selgelt mõelda või rääkida"
viinanina	alkoholi armastav inimene, kõva viinavõtja, joodik
viinavend	"(alkoholi armastava inimese, kõva viinavõtja kohta	 joomasõbra kohta)"
viinusk	"alkoholi sisaldav kange jook, mis näeb välja nagu vesi	 peamiselt teraviljast või kartulist saadav kange värvitu alkohoolne jook, mis sisaldab vett ja destilleeritud etanooli"
vilka	plotski
vimka	väike, kelmikas vemp või temp
virimokk	"hädaldama, virisema kalduv inimene	 inimene, eriti laps, kes kergesti nutma või hädaldama hakkab"
voh	rõhutab imetlust, vaimustust, nõustumist vms
volle	"sportlik mäng, kus kaks võistkonda löövad palli kätega üle kõrge võrgu	 sportlik pallimäng erilisel, võrguga poolitatud väljakul kahe võistkonna vahel, kus võitjaks osutub kaks kolmest geimist või kolm viiest geimist võitnud võistkond"
vonn	mõisnik, saks
vot	(rõhutav üldlaiend:) tugevdab ja rõhutab lauses väljendatud üllatust, tunnustust, pahameelt, kinnitust vms
vuhva	(halvustavalt ülesmukitud, uhke olekuga naise kohta)
vunk	"hoog, ind	 teravus, särtsakus"
vuntsima	hoolikalt korrastama, (väliselt) ilusaks tegema
vurhv	(sätitud, klanitud) välimus, olek
vurle	"kerglane, tühine inimene	 linnainimene, linliku elulaadiga inimene"
vutt	"sportlik mäng, kus üks võistkond püüab palli jalaga teise võistkonna väravasse lüüa	 sportmäng, milles kumbki meeskond püüab palli jalaga (või peaga) lüües vastaspoole väravasse saata"
võidumees	see, kes on teistest parem, kes võidab võistluse vm mõõduvõtmise
võimendus	"heli võimendamine sellise seadme abil	 võimendusseade või -seadmete süsteem"
võpsik	"kasutamata rohumaale, raiesmikule vms tekkiv eeskätt lehtpuude noor mets või põõsastik	 sellise noore metsa või põõsastikuga kaetud ala"
väits	nuga
välja sööma	"kedagi oma tegevuse või käitumisega kusagilt lahkuma sundima	 kedagi tegutsemast või midagi tarvitusest, käibelt kõrvale tõrjuma"
väljamaa	"mitteoma maa või riik, maa või riik väljaspool kodumaad	 ükskõik milline maa, mis ei ole sinu kodumaa"
vänts	(väike) laps
väntsakas	(väike) laps
värgindus	mingi täpsemalt määratlemata, ebamäärane asi, nähtus, tegevus vm
värsitreial	(kehvade) luuletuste kirjutaja
õllekas	õllebaar, -kõrts vm õllejoogikoht
äkane	roojaga koos
äkisti	"(kiiresti ja) nii et ei osanud ette näha	 äkki	 üllatuslikult (kiiresti, sel samal hetkel), ette nägematult, ette teatamata vms"
ämmatoss	vana murumuna vm puguseene rahvapärane nimetus
ära kargama	(riigist, vangistusest, kinnipidamisasutusest vm) põgenema
ära ratsima	liigselt lihtsustama, seeläbi mittemõistlikuks tegema
ärima	midagi müüma, hankima või ostma
öko	"keskkonnahoidlikku mõttelaadi pooldav	 keskkonnateadlikke inimesi koondav"
ööbla	(reisija) ööbimiskoht, majutuspaik
ühekorra	"mingil ajal minevikus või tulevikus	 mingil ebamäärasel, täpselt määratlemata ajal, millalgi minevikus või tulevikus, ühel (heal) päeval"
ühikas	"maja, mis on mõeldud tavaliselt üliõpilaste elukohaks	 üliõpilastele, õpilastele, töölistele vm ajutiseks elamiseks mõeldud elamu"
üks-kaks	kiiresti, ruttu
ükspäev	"mingil ajal minevikus või tulevikus	 mingil ebamäärasel, täpselt määratlemata ajal, millalgi minevikus või tulevikus, ühel (heal) päeval"
ükstaskõik	"kui sul on millegi suhtes ükskõik, siis see pole sinu jaoks oluline, sinu jaoks vahet ei ole	 märgib ükskõikset suhtumist, ükskõiksust mingi olukorra suhtes: sama see, teeb üks välja"
ülesse	üles
üüratu	väga, määratult
