märksõna;Tähendus(ed) (ÕS, ÜS);GPT-4o (17.05.24);"sildid
(valdkonnad suurtähtedes)";GPT 4 (27.03.24);sildid;Leksikograafi hinnang: SKMi järgi ÜSi pakutav registrimärgend või registrita;ÜK 2023: esinemisjuhud (konkordantsi järgi + sagedus per mln);"ÜK 2023: TOPIC
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023: GENRE
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023 konkordantsi uurimise järgi märkmeid
(random sample 200)";Leksikograafi hinnang: korpuse järgi ÜSi pakutav registrimärgend või registrita;Leksikograafi hinnang: mudel vs. korpus (mille poolest sarnanesid või erinesid);märkmed, mida ei oska kuhugi;Allikas (ÕS või ÜS);Orig. allika märgend;Teise allika märgend (27.–30.05.2024);"Kas SKM oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(kvalitatiivne analüüs hiljem)";"Kas korpus oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(nt sõna sagedus korpuses?)";"Kas SKM ja korpus täiendasid teineteist?
(jah/ei)";mille poolest täiendasid/erinesid?;"Kas märgendite pakkumine erineb SKMi ja korpuse puhul? 
(jah/ei)";"Leksikograafi pakkumine SKMi põhjal vs. originaalallikas?
(sama/mitte)";"Leksikograafi pakkumine korpuse põhjal vs. originaalallikas?
(sama/mitte)";"orig. allikas on argi/kõnek, aga SKMi ja/või korpuse järgi ei hinda nii
(täita ainult siis, kui jah;
vastupidi = SKM/korp pakkus kõnek, aga allikas polnud)"
rahalaenamine;"ÜS: raha laenuks küsimine või saamine; raha laenuks andmine 
ÕS: (kellelegi v kelleltki)";kasutatakse tekstides, mis käsitlevad finantsteemasid, eriti laenude ja krediidi andmise ja võtmisega seotud küsimusi. Näiteks võib seda sõna leida: 1. Pankade ja finantsasutuste laenutingimuste kirjeldustes 2. Laenulepingutes ja -lepingute näidistes. 3. Finantsnõuannetes ja -juhendites. 4. Majandus- ja finantsuudistes. 5. Isiklike finantsblogide ja -artiklite tekstides. 6. Õpikutes ja õppevahendites, mis käsitlevad majandust ja rahandust.;FINANTS, MAJANDUS, RAHANDUS;kasutatakse majandustekstides, õigusaktides või uudistes.;MAJANDUS, õigusaktid, uudised;registrita, pigem valdkonnamärgend;"172
0.05";"NONE - tüüpiline
economy, finance & business - tüüpiline
culture & entertainment - keskmine
politics & government -ebatüüpiline
culture & entertainment:books & literature - tüüpiline";"Periodicals - tüüpiline
NONE ebatüüpiline
Blogs - ebatüüpiline
Fiction -tüüpiline
fiction:Novel tüüpiline";teat kontekstides on vaja öelda, et laenatakse raha, kuna enamasti see nii ongi. Sisu läbipaistvuse tõttu pigem üldkeele sõna, st registrita;registrita;mudel jätab mulje, et väga laialdaselt kasutusel, kuid tegelikult üsna harv. Valdkonnad määratud õigesti;;EKI ühendsõnastik;registrita;registrita;jah;aga ei ütle, et niisama võidaks ka kasutada, pigem valdkonnatekstes;jah;teat kontekstides on vaja öelda, et laenatakse raha, kuna enamasti see nii ongi. Sisu läbipaistvuse tõttu pigem üldkeele sõna, st registrita;jah;korpus andis üldkeelsuse välja, SKM mitte;jah;mitte;sama;
rahapada;"ÜS: 1. rahvajuttudes hrl rahaauku poti või pajaga peidetud väärisvara; 1.1 (kellegi rahavaru, (suure) rahasumma kohta); 2.  metallraha vermiv, aumärke vms valmistav ettevõte 
ÕS: (peitaare)";kasutatakse eesti keeles tavaliselt muinasjuttudes, rahvapärimustes ja legendides. See viitab sageli müütilisele aardele või rikkusele, mis on peidetud või maagiliselt kaitstud. Näiteks võib rahapada esineda lugudes, kus tegelased leiavad peidetud varanduse või saavad selle maagiliste olendite abiga. Kui sul on konkreetne tekst või kontekst, kus seda sõna kasutatakse, saan proovida anda täpsema vastuse.;muinasjutud, rahvapärimus, legendid;kasutatakse sageli muinasjuttudes või muudes fantaasiakirjanduse tekstides.;ilukirjandus;registrita;"4022
1.06";"NONE -- tüüpiline
culture & entertainment - tüüpiline
economy, finance & business -- tüüpiline
culture & entertainment:books & literature -- tüüpiline
gaming & gambling -- tüüpiline";"Periodicals - keskmine
NONE -keskmine
Blogs - keskmine
Forums - ebatüüpiline
e-commerce - tüüpiline";kasutuse anomaaliatel selged põhjused (vt märkeid kõrvalveerus);registrita;mudel näärab õigesti, kuid tähendus 'müntla' tuleb välja üsnes korpust vaadates;;EKI ühendsõnastik;"kõnekeelne: ainult 2. tähendus ' metallraha vermiv, aumärke vms valmistav ettevõte'; 1. ja 1.1 registrita";registrita;jah;tegelikult ütles piiratud kasutusjuhu & tahab rohkem infot;jah;;jah;mudel näärab õigesti, kuid tähendus 'müntla' tuleb välja üsnes korpust vaadates;ei;mitte;mitte;jah
ravimküünal;"ÜS: silinderjas või kooniline pulk raviaine manustamiseks pärakusse või tuppe
ÕS: märksõna pole";kasutatakse meditsiinilistes tekstides, eriti nendes, mis käsitlevad ravimite manustamisviise ja -vorme. Ravimküünal on ravimvorm, mida manustatakse rektaalselt või vaginaalselt ja mis lahustub kehatemperatuuril, vabastades toimeained. Selliseid tekste võib leida meditsiinilistes õpikutes, ravimite infolehtedel, apteekide veebilehtedel ja tervishoiualastes artiklites.;MEDITSIIN, RAVIMID, õpikud, infolehed, veebilehed, TERVISHOID;kasutatakse meditsiinitekstides või apteegi juhistes.;MEDITSIIN, juhised;valdkonnamärgend: MED;"118
0.03";"Health - ülitüüpiline
NONE - ebatüüpiline
culture & entertainment -- ebatüüpline
Education - tüüpiline
women & beauty -tüüpilne";"Periodicals - ebatüüpiline
NONE -- tüüpiline
Forums -ebatüüpiline
e-commerce - tüüpiline
Fiction - tüüpiline";valdkondlikult piiratud kasutus;registrita;mudel ja korpus võrdväärsed sel puhul;;EKI ühendsõnastik;registrita;"artiklis ""küünal"" liitsõnana registrita";jah;;jah;;jah;korpusest tuli natukene rohkem teemasid, kus kasutatakse. mõlema järgi erialatermin pigem;ei;mitte;sama;
reanimatsioon;"ÜS: 1. organismi elutegevuse taastamine; 1.1 raskes või eluohtlikus seisundis oleva haige ravimiseks mõeldud ruum või osakond; 1.2 (millegi taastamise või põhjaliku uuendamise kohta)
ÕS: reanimeerimine";kasutatakse eesti keeles meditsiinilistes tekstides ja kontekstides. See viitab elustamisprotsessile, kus püütakse taastada inimese elutähtsaid funktsioone, nagu hingamine ja südametegevus, pärast nende seiskumist. Seda sõna võib kohata haiglate ja meditsiinikeskuste dokumentatsioonis, meditsiinilistes artiklites, õpikutes, juhendites ja ka erakorralise meditsiini käsiraamatutes.;MEDITSIIN, dokumendid, artiklid, õpikud, juhendid, ERAKORRALINE MEDITSIIN, käsiraamatud;kasutatakse meditsiinitekstides või uudistes, mis räägivad tervishoiust.;MEDITSIIN, TERVISHOID;"registrita; valdkonnamärgend MED";"949
0.25";"NONE - tüüpiline
culture & entertainment -- keskmine
Health - tüüpline
technology & IT – ebatüüpiline
technology & IT:cars --tüüpiline";"Periodicals - tüüpiline
NONE - ebatüüpiline
Forums - ebatüüpiline
blogs- ebatüüpiline
fiction- ebatüüpiline";terviseteemalistes tekstides, aga paistab, et pigem populaarteaduslikes või muidu lihtsakoelisemates, pole piiratud meditsiinivaldkonnaga;registrita;mudel tubli, kuid kasutust omavahelises suhtluses näitab ainult korpus;;EKI ühendsõnastik;"kõnekeelne: ainult 1.1 'ruum või osakond'; 1. ja 1.2 registrita";registrita;jah;;jah;terviseteemalistes tekstides, aga paistab, et pigem populaarteaduslikes või muidu lihtsakoelisemates, pole piiratud meditsiinivaldkonnaga;jah;SKM oli rohkem ainult meditsiini peal, korpuses rohkem infot natukene;ei;mitte;mitte;jah
reig;"ÜS:  (värske, verine) haav 
ÕS:  märksõna pole";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""reig"". See võib olla haruldane või spetsiifiline sõna, mida ei esine laialdaselt tuntud eesti keele sõnavaras.";ei tea;kasutatakse folkloori või muusika teemalistes tekstides.;FOLKLOOR, MUUSIKA;registrita, valdkond folkloor;524 (0,14 per mln);"gaming & gambling 281 (tüüpiline)
NONe 121 (ei ole tüüpiline)
gaming & gambling: gambling & casinos 67 (ÜLItüüpiline)
culture & entertainment 33 (ei ole tüüpiline)
travel & tourism 30 (tüüpiline)";"NONE 228 (tüüpiline)
forums 112 (tüüpiline)
periodicals 85 (ei ole tüüpiline)
fiction 36 (tüüpiline)
fiction: Novel 30 (tüüpiline)";üksikud murdekeelsed sõnad, rohkem mingi pokkeri mõistena kasutusel;registrita, valdkond hasartmängud? + murdetähendusel murde;mudel sõna ei tunne, korpuses mõned näited leiduvad;;EKI ühendsõnastik;murdes;ple;ei;samas ütleb, et see võib olla haruldane või spetsiifiline sõna;jah;kuigi meil murdesõnana, siis korpusest selgus, et pokkeri mõistena levinud;jah;mudel sõna ei tunne, korpuses mõned näited leiduvad;jah;mitte;mitte;
reisihimu;"ÜS: kange tahtmine reisida
ÕS: märksõna pole";kasutatakse tavaliselt tekstides, mis käsitlevad reisimist, seiklemist ja avastamist. See võib esineda reisiblogides, reisikirjeldustes, turismialastes artiklites, reisiraamatutes ja isiklikes päevikutes, kus autorid väljendavad oma soovi ja kirge reisida ning uusi kohti avastada.;REISIMINE, blogid, kirjeldused, TURISM, artiklid, raamatud, isiklikud päevikud;kasutatakse reisikirjanduses või blogides.;reisikirjandus, blogid;registrita;"236
0.06";"NONE - keskmine
culture & entertainment - tüüpiline
travel & tourism - tüüpiline
culture & entertainment:books & literature - tüüpiline
economy, finance & business. - tüüpiline";"Periodicals -tüüpiline
Blogs -tüüpiline
NONE - ebatüüpiline
Forums - ebatüüpiline
e-commerce - keskmine";;registrita;mudel väga hästi kirjeldab, kuid samas tegu ka täiesti läbipaistva liitsõnaga;;EKI ühendsõnastik;registrita;ple;jah;;jah;;jah;SKM keskendub reisimisele, korpusest on näha ka ilukirjandust;ei;mitte;mitte;
relvakamber;"ÜS: ruum relvade hoidmiseks
ÕS: märksõna pole";kasutatakse tekstides, mis käsitlevad relvi ja laskemoona. See võib esineda näiteks: 1. Relvade tehnilistes kirjeldustes ja käsiraamatutes. 2. Sõjalises kirjanduses ja dokumentides. 3. Kriminaalromaanides ja -lugudes, kus kirjeldatakse relvade kasutamist. 4. Õigusaktides ja määrustes, mis reguleerivad relvade omamist ja kasutamist. 5. Ajaloolistes tekstides, mis käsitlevad sõdu ja lahinguid. 6. Relvade hooldus- ja kasutusjuhendites.;RELVAD, LASKEMOON, SÕJANDUS, AJALUGU;kasutatakse ajaloolistes tekstides või kirjanduses, mis räägib sõjast.;AJALUGU, kirjandus;"valdkonnamärgend: MIL; AJAL";"202
0.05";"NONE - tüüpiline
culture & entertainment - tüüpiline
travel & tourism - tüüpiline
culture & entertainment:history - tüüpiline
Religion - tüüpiline";"Periodicals - ebatüüpiline
NONE - ebatüüpiline
Fiction -- tüüpiline
fiction:Novel - tüüpiline
Blogs - keskmine";kirjanduses pigem;registrita;üks mudelitest liiga detailselt esitab. Korpusest selgub, et kasutust on tegelikult vähe ja pigem ilukirjanduses;;EKI ühendsõnastik;registrita;ple;jah;;jah;;jah;SKMist jäi mulje, et termin, aga korpusest, et kirjanduses ja registrita;jah;mitte;sama;
relvasuu;"ÜS: relva esiots, kellegi suunas sihitud relv
ÕS: märksõna pole";kasutatakse eesti keeles peamiselt sõjanduse, relvastuse ja militaarteemalistes tekstides. See võib esineda ka kirjanduses, ajakirjanduses ja tehnilistes kirjeldustes, kus käsitletakse relvade ehitust, kasutamist või mõju. Näiteks võib seda sõna leida sõjalistes raportites, relvade käsiraamatutes, ajaloolistes ülevaadetes või ilukirjanduslikes teostes, mis sisaldavad sõjategevust või relvade kasutamist.;SÕJANDUS, RELVASTUS;kasutatakse sõjateemalistes tekstides või kirjanduses.;SÕJANDUS, kirjandus;valdkonnamärgend: MIL;"33; 0";"NONE - tüüpiline
culture & entertainment - tüüpiline
culture & entertainment:books & literature tüüpiline";"Fiction -- tüüpiline
fiction:Novel -- tüüpiline
Periodicals - ebatüüpiline
NONE - ebatüüpiline
periodicals:journals -- tüüpiline";sisuliselt ainult ilukirjanduses;registrita;mudel kirjeldab tekste, kus seda võidaks kasutada, st oletab, seejuures mõistlikult. Reaalne kasutus on väga väike, ja pigem kirjanduses;;EKI ühendsõnastik;kõnekeelne;ple;jah;;jah;;jah;mudel kirjeldab tekste, kus seda võidaks kasutada, st oletab, seejuures mõistlikult. Reaalne kasutus on väga väike, ja pigem kirjanduses;jah;mitte;mitte;jah
reumatoidartriit;"ÜS: esmajoones liigesepõletikuna avalduv organismi üldhaigus, mida põhjustab immuunsüsteemi häire
ÕS: krooniline liigesepõletik, üks autoimmuunhaigusi";kasutatakse meditsiinilistes ja tervishoiualastes tekstides, eriti nendes, mis käsitlevad liigesehaigusi, autoimmuunhaigusi ja kroonilisi põletikulisi seisundeid. Seda võib leida ka patsientidele suunatud informatiivsetes materjalides, teadusartiklites, meditsiinilistes õpikutes ja terviseajakirjades.;MEDITSIIN, TERVISHOID, materjalid, teaduskirjandus, õpikud, ajakirjandus;kasutatakse meditsiinitekstides, terviseblogides või uudistes.;MEDITSIIN, terviseblogid, uudised;valdkonnamärgend: MED;2816 (0,74 per mln);health 1251 (tüüpiline), NONE 1059 (ei ole tüüpiline), science 168 (tüüpiline), culture & entertainment 63 (ei ole tüüpiline), women & beauty 62 (tüüpiline);periodicals 1117 (ei ole tüüpiline), NONE 941 (ei ole tüüpiline), forums 345 (ei ole tüüpiline), e-commerce 251 (tüüpiline), blogs 173 (ei ole tüüpiline);;registrita;suht sama: tervise, teaduse teemad. korpuse järgi ka naistele suunatud lehed (mis ilmselt ka tervisest räägivad);;EKI ühendsõnastik;registrita;registrita;jah;;jah;;jah;suht sama: tervise, teaduse teemad. korpuse järgi ka naistele suunatud lehed (mis ilmselt ka tervisest räägivad);jah;mitte;sama;
rodster;"ÜS: kaheistmeline lahtise kerega sportauto
ÕS: märksõna pole";"Eesti keeles kasutatakse sõna ""rodster"" peamiselt autotööstuse ja autohuviliste seas. See viitab tavaliselt kahekohalisele kabriolett-tüüpi autole, millel on eemaldatav või kokkupandav katus. Sõna võib esineda autoajakirjades, foorumites, reklaamides ja muudes tekstides, mis käsitlevad autosid ja autokultuuri.";AUTOTÖÖSTUS, ajakirjandus, foorumid, reklaamid, AUTOKULTUUR.;kasutatakse autoteemalistes tekstides või ajakirjades.;AUTOD, ajakirjandus;registrita;598 (0,16 per mln);technology & IT 487 (tüüpiline), NONE 100 (ei ole tüüpiline), science 5 (ei ole tüüpiline), culture & entertainment 4 (ei ole tüüpiline), education 1 (ei ole tüüpiline);periodicals 438 (tüüpiline), forums 106 (tüüpiline), NONE 46 (ei ole tüüpiline, blogs 4 (ei ole tüüpiline), encyclopedia 3 (ei ole tüüpiline);;registrita;mõlemad, et autod ja ajakirjandus;;EKI ühendsõnastik;registrita;ple;jah;;jah;;ei;mõlemad, et autod ja ajakirjandus;ei;sama;sama;
rõvedalt;"ÜS: 1. sündsustunnet jämedalt riivavalt või solvavalt; 2.  (intensiivistavalt:) väga, äärmiselt vastikult, koledasti vms 
ÕS: tähendust pole";kasutatakse eesti keeles tavaliselt tekstides, mis kirjeldavad midagi vulgaarset, ebameeldivat või solvavat. Seda võib leida näiteks ilukirjanduses, kus tegelased kasutavad roppu keelt, samuti arvustustes, kommentaarides või arvamusartiklites, kus autor väljendab tugevat negatiivset hinnangut. Samuti võib seda sõna kohata igapäevases kõnes või sotsiaalmeedia postitustes, kus inimesed väljendavad oma pahameelt või vastikust millegi suhtes. ;ilukirjandus, arvustused, kommentaarid, arvamusartiklid, argikeel, sotsiaalmeedia;kasutatakse igapäevakeeles, blogides, foorumites, sotsiaalmeedias, tähendab 'väga, ülemäära'.;argikeel, blogid, foorumites, sotsiaalmeedias;kõnekeelne;3921 (1,04 per mln);NONE 1867 (ei ole tüüpiline), technology & IT 645 (tüüpiline), culture & entertainment 435 (ei ole tüüpiline), sports 315 (tüüpiline), women & beauty 179 (tüüpiline);forums 1585 (tüüpiline), blogs 1268 (tüüpiline), periodicals 629 (ei ole tüüpiline), NONE 287 (ei ole tüüpiline), fiction 88 (ei ole tüüpiline);;kõnekeelne;mõlemad, et argikeel, foorumid ja blogid;;EKI ühendsõnastik;"kõnekeelne: ainult 2. tähendus ' (intensiivistavalt:) väga, äärmiselt vastikult, koledasti vms'; 1. registrita";registrita;jah;;jah;;ei;mõlemad, et argikeel, foorumid ja blogid;ei;mitte;mitte;vastupidi
sahkerdama;"ÜS: 2 tähendust
ÕS: hangeldama, spekuleerima; sekeldama";kasutatakse eesti keeles tavaliselt tekstides, mis käsitlevad ebaausaid või kahtlaseid tehinguid, petuskeeme või muid ebaeetilisi tegevusi. Seda sõna võib leida nii ajakirjanduslikes artiklites, ilukirjanduses kui ka igapäevases kõnepruugis, kui räägitakse kellegi kahtlastest või ebaausatest tegudest. Näiteks võib seda kasutada, kui räägitakse korruptsioonist, altkäemaksust või muust sarnasest tegevusest.;PETTUS, ajakirjandus, ilukirjandus, kõnekeel;kasutatakse igapäevakeeles, blogides, foorumites, sotsiaalmeedias, tähendab 'segast või kahtlast tegevust tegema'.;argikeel, blogid, foorumites, sotsiaalmeedias;registrita;2271 (0,6 per mln);NONE 1511 (tüüpiline), culture & entertainment 179 (ei ole tüüpiline), politics & government 149 (keskmine), sports 104 (ei ole tüüpiline), economy, finance & business 59 (keskmine);periodicals 1394 (tüüpiline), blogs 321 (ei ole tüüpiline), forums 276 (ei ole tüüpiline), NONE 166 (ei ole tüüpiline), fiction 85 (keskmine);;registrita;mõlemad ütlevad, et ajakirjandus, vähem ilukirjandus. kõneekeelsus korpusest välja ei tule (blogides ja foorumites ebatüüpiline);;EKI ühendsõnastik;"kõnekeelne: ainult 2.1 (lubamatul, ebaausal moel) flirtima, armatsema; 1. ja 2. registrita";registrita;jah;;jah;;jah;mõlemad ütlevad, et ajakirjandus, vähem ilukirjandus. kõneekeelsus korpusest välja ei tule (blogides ja foorumites ebatüüpiline);ei;mitte;mitte;jah
santehnik;"ÜS: torutööde asjatundja, torulukksepp
ÕS: tähendust pole";kasutatakse tekstides, mis käsitlevad sanitaartehnikat, torutöid, veevarustust, kanalisatsiooni ja muid sellega seotud teemasid. Näiteks võib seda sõna leida ehitusalastes artiklites, remondijuhendites, töökuulutustes, teenusepakkujate veebilehtedel ja foorumites, kus arutatakse kodu hoolduse ja remondi küsimusi.;SANITAARTEHNIKA, TORUTÖÖD, veevarustus, kanalisatsioon, artiklis, juhendis, töökuulutused, veebilehed, foorumid, EHITUS, REMONT;kasutatakse tehnilistes tekstides, töökuulutustes, tähendab 'vee- ja kanalisatsioonisüsteemide paigaldaja või remontija'.;tehnilistes tekstides, töökuulutustes;registrita;1226 (0,32 per miln);NONE 824 (tüüpiline), construction & real estate 177 (tüüpiline), culture & entertainment 49 (ei ole tüüpiline), technology & IT 33 (ei ole tüüpiline), sports 27 (ei ole tüüpiline);periodicals 392 (ei ole tüüpiline), NONE 384 (tüüpiline), forums 231 (tüüpiline), blogs 166 (ei ole tüüpiline), e-commerce 31 (ei ole tüüpiline);;registrita;mõlematega tuli välja ehitus;;EKI ühendsõnastik;kõnekeelne;{san+tehnik} ? toru+l`ukk+s`epp;jah;;jah;;ei;mõlematega tuli välja ehitus;ei;mitte;mitte;jah
sara;"ÜS: 1. kerge (viletsavõitu) ehitusega kõrvalhoone tööriistade, küttepuude vm hoidmiseks; 1.1 (viletsa, sooja mittepidava elamu või ruumi kohta); 1.2 loguks või vanarauaks sõidetud auto vm sõiduvahend
ÕS: kuur, lööv, küün";"kasutatakse eesti keeles mitmesugustes kontekstides. Näiteks: 1. Kirjanduses ja luules: Sõna ""sara"" võib esineda kirjanduslikes tekstides ja luules, kus see võib tähendada väikest hoonet või varjualust. 2. Rahvapärimustes ja folklooris: Rahvapärimustes võib ""sara"" viidata vanadele talumajapidamistele või hoonetele. 3. Igapäevases kõnes: Inimesed võivad kasutada sõna ""sara"" igapäevases kõnes, kui nad räägivad vanadest või lagunenud hoonetest.";kirjandus, luule, rahvapärimused, FOLKLOOR, argikeel;kasutatakse erinevates tekstides, tähendab 'heinakuhja' või 'aia, tarastuse' osa.;erinevad tekstid;registrita;14,154 (3,74 per mln);NONE 7,547 (keskmine), culture & entertainment 2942 (tüüpiline), sports 1126 (tüüpiline), travel & tourism 613 (tüüpiline), technology & IT 508 (ei ole tüüpiline);periodicals 4,325 (ei ole tüüpiline), fiction 3,687 (tüüpiline), forums 2,128 (ei ole tüüpiline), NONE 1848 (ei ole tüüpiline), blogs 1530 (ei ole tüüpiline);palju pärisinimesid Sara, mis tulevad ilukirjandusest;kõnekeelsuse register sellele lagunenud hoone või auto tähendusele;korpuse järgi tuli esile ilukirjandus, aga siin on tegemist valemärgendusega (tegemist on pärisnimega Sara).;;EKI ühendsõnastik;kõnekeelne: ainult 1.1 (viletsa, sooja mittepidava elamu või ruumi kohta);registrita;jah;;jah;;jah;korpuse järgi tuli esile ilukirjandus, aga siin on tegemist valemärgendusega (tegemist on pärisnimega Sara). korpuse järgi paneks ka kõnekeelsuse register sellele lagunenud hoone või auto tähendusele;jah;mitte;mitte;jah
sebima;"ÜS: mitmeid tähendusi
ÕS: kokku lappama, kokku panema; askeldama, saalima, sagima; argi hankima, muretsema";"kasutatakse eesti keeles mitmesugustes tekstides, sealhulgas argikeeles, ilukirjanduses, ajakirjanduses ja sotsiaalmeedias. See sõna tähendab tavaliselt toimetamist, askeldamist või millegi aktiivset korraldamist. Näiteks võib seda kasutada lausetes nagu ""Ta sebis terve päeva ringi"" või ""Ma pean veel mõned asjad ära sebima enne, kui saan puhata.""";erinevad tekstid;kasutatakse igapäevakeeles, blogides, foorumites, sotsiaalmeedias, tähendab 'kiiresti ja asjalikult toimetama'.;argikeel, blogid, foorumid, sotsiaalmeedia;pigem registrita;24583 (6,57 per mln);NONE 11647 (ei ole tüüpiline), technology & IT 4,817 (tüüpiline), culture & entertainment 2438 (ei ole tüüpiline), sports 1,298 (ei ole tüüpiline), travel & tourism 913 (tüüpiline);forums 11,010 (tüüpiline), blogs 6869 (tüüpiline), periodicals 4186 (ei ole tüüpiline), NONE 1921 (ei ole tüüpiline), fiction 520 (ei ole tüüpiline);;registrita, v.a võrgutamise tähendus;mõlemas tuleb välja argikeel;;EKI ühendsõnastik;"kõnekeelne: ainult 1.2 kedagi endaga seksuaalvahekorda meelitama, ära võrgutama; teised registrita";registrita ja argi + Poisid sebivad tüdrukuid argi (löövad tüdrukutele külge);jah;;jah;;jah;mõlemas tuleb välja argikeel, aga pigem paneks registrita, v.a korpuse puhul võrgutamise tähendus;jah;mitte;sama;jah
segast panema;"ÜS: 1.  arusaamatut, segast juttu ajama ; 1.1  (tehnika, elektroonika vms kohta:) korralikult töötamast lakkama, töökorrast ära olema 
ÕS: märksõna pole";kasutatakse eesti keeles mitmesugustes kontekstides, tavaliselt kõnekeeles ja mitteametlikes tekstides. See väljend tähendab üldiselt kellegi segadusse ajamist või segadust tekitavat käitumist. Seda võib kohata näiteks: 1. Igapäevases kõnepruugis ja vestlustes 2. Ilukirjanduses, kus tegelased võivad kasutada kõnekeelset väljendit. 3. Ajakirjanduses, eriti arvamuslugudes või kolumnides, kus autorid kasutavad vabamat ja kõnekeelsemat stiili. 4. Sotsiaalmeedias ja foorumites, kus inimesed suhtlevad mitteametlikult.;erinevad tekstid, kõnekeel, mitteametlikud tekstid;kasutatakse igapäevakeeles, blogides, foorumites, sotsiaalmeedias, tähendab 'segadusse ajama'.;argikeel, blogid, foorumid, sotsiaalmeedia;kõnekeelne;9804 (2.59 per mln);technology & IT 963 (tüüpiline), NONE 758 (ei ole tüüpiline), culture & entertainment 159 (ei ole tüüpiline), sports 152 (ei ole tüüpiline), gaming & gambling 82 (tüüpiline);forums 1581 (tüüpiline), periodicals 330 (ei ole tüüpiline), blogs 282 (ei ole tüüpiline), NONE 119 (ei ole tüüpiline), fiction 23 (ei ole tüüpiline);;kõnekeelne;mõlemas argi/kõnekeel (foorumid);;EKI ühendsõnastik;kõnekeelne: mõlemad;ple;jah;;jah;;ei;mõlemas argi/kõnekeel (foorumid);ei;sama;sama;
seinavalgusti;"ÜS: seinale kinnitatav valgusti
ÕS: tähendust ei ole";kasutatakse tekstides, mis käsitlevad valgustust, sisekujundust, ehitust ja kodu renoveerimist. Seda võib leida ka toodete kirjeldustes e-poodides, mis müüvad valgustusseadmeid, samuti ajakirjades ja blogides, mis keskenduvad kodu ja interjööri teemadele.;VALGUSTUS, SISEKUJUNDUS, EHITUS, RENOVEERIMINE;kasutatakse sisustus- ja ehitusalastes tekstides, tähendab 'seina külge kinnitatav valgusti'.;SISUSTUS, EHITUS;registrita;2190 (0.58 per mln);NONE 1587 (tüüpiline), construction & real estate 248 (tüüpiline), other 141 (tüüpiline), technology & IT 98 (ei ole tüüpiline), home, family & children 55 (tüüpiline);e-commerce 1570 (tüüpiline), NONE 322 (ei ole tüüpiline), periodicals 172 (ei ole tüüpiline), forums 62 (ei ole tüüpiline), blogs 56 (ei ole tüüpiline);;registrita;mõlemas on ehitus, korpusest tulevad välja ka veebipoed, mis vbl siis viitab sisekujundusele/valgustusele;;EKI ühendsõnastik;registrita; seina+l`amp, oskuskeeles täpsem seinavalgusti;jah;;jah;;jah;mõlemas on ehitus, korpusest tulevad välja ka veebipoed, mis vbl siis viitab sisekujundusele/valgustusele;ei;sama;sama;
seksuaalvahekord;"ÜS: inimeste suguline ühinemine, suguline vahekord
ÕS: suguline vahekord";kasutatakse tavaliselt meditsiinilistes, teaduslikes, hariduslikes ja õiguslikes tekstides. Seda võib leida ka tervisealastes juhendites, seksuaalhariduse materjalides ning sotsiaal- ja psühholoogiaalastes artiklites. Lisaks võib seda sõna kohata ka meedias ja populaarteaduslikes väljaannetes, kui käsitletakse seksuaalsusega seotud teemasid.;MEDITSIIN, TERVIS, SEKSUAALHARIDUS, SOTSIOLOOGIA, PSÜHHOLOOGIA;kasutatakse meditsiinilistes, psühholoogilistes, sotsioloogilistes tekstides, tähendab 'sugulise läbikäimise akti'.;MEDITSIIN, PSÜHHOLOOGIA, SOTSIOLOOGIA;registrita;6808 (1,8 per mln);NONE 3065 (ei ole tüüpiline), health 1075 (tüüpiline), sex 850 (tüüpiline), culture & entertainment 443 (ei ole tüüpiline), religioon 300 (tüüpiline);periodicals 3255 (tüüpiline), NONE 1596 (tüüpiline), forums 783 (ei ole tüüpiline), e-commerce 538 (tüüpiline), blogs 291 (ei ole tüüpiline);;registrita;tervis ja seks tulevad mõlemas välja. korpuses millegipärast ka relgioonitekstid tüüpilised, ka e-poed (seksmänguasju müüvad ilmselt);;EKI ühendsõnastik;registrita;"artiklis ""seksu`aal+, seksu`aalne"" liitsõnana registrita";jah;;jah;;jah;tervis ja seks tulevad mõlemas välja. korpuses millegipärast ka relgioonitekstid tüüpilised, ka e-poed (seksmänguasju müüvad ilmselt);ei;sama;sama;
